From: ICD-10 4th Edition code	Code Description	To: ICD-10 Reprinted (with updates and corrections) 2000 code	Notes	Target Different to Source?	ICD 3char/4char/5char
M24.3	Pathological dislocation and subluxation of joint, not elsewhere classified	M24.3		N	4
M24.30	Pathological dislocation and subluxation of joint, not elsewhere classified; Multiple sites	M24.30		N	5
M24.31	Pathological dislocation and subluxation of joint, not elsewhere classified; Shoulder region	M24.31		N	5
M24.32	Pathological dislocation and subluxation of joint, not elsewhere classified; Upper arm	M24.32		N	5
M24.33	Pathological dislocation and subluxation of joint, not elsewhere classified; Forearm	M24.33		N	5
M24.34	Pathological dislocation and subluxation of joint, not elsewhere classified; Hand	M24.34		N	5
M24.35	Pathological dislocation and subluxation of joint, not elsewhere classified; Pelvic region and thigh	M24.35		N	5
M24.36	Pathological dislocation and subluxation of joint, not elsewhere classified; Lower leg	M24.36		N	5
M24.37	Pathological dislocation and subluxation of joint, not elsewhere classified; Ankle and foot	M24.37		N	5
M24.38	Pathological dislocation and subluxation of joint, not elsewhere classified; Other	M24.38		N	5
M24.39	Pathological dislocation and subluxation of joint, not elsewhere classified; Site unspecified	M24.39		N	5
M24.4	Recurrent dislocation and subluxation of joint	M24.4		N	4
M24.40	Recurrent dislocation and subluxation of joint; Multiple sites	M24.40		N	5
M24.41	Recurrent dislocation and subluxation of joint; Shoulder region	M24.41		N	5
M24.42	Recurrent dislocation and subluxation of joint; Upper arm	M24.42		N	5
M24.43	Recurrent dislocation and subluxation of joint; Forearm	M24.43		N	5
M24.44	Recurrent dislocation and subluxation of joint; Hand	M24.44		N	5
M24.45	Recurrent dislocation and subluxation of joint; Pelvic region and thigh	M24.45		N	5
M24.46	Recurrent dislocation and subluxation of joint; Lower leg	M24.46		N	5
M24.47	Recurrent dislocation and subluxation of joint; Ankle and foot	M24.47		N	5
M24.48	Recurrent dislocation and subluxation of joint; Other	M24.48		N	5
M24.49	Recurrent dislocation and subluxation of joint; Site unspecified	M24.49		N	5
M24.5	Contracture of joint	M24.5		N	4
M24.50	Contracture of joint; Multiple sites	M24.50		N	5
M24.51	Contracture of joint; Shoulder region	M24.51		N	5
M24.52	Contracture of joint; Upper arm	M24.52		N	5
M24.53	Contracture of joint; Forearm	M24.53		N	5
M24.54	Contracture of joint; Hand	M24.54		N	5
M24.55	Contracture of joint; Pelvic region and thigh	M24.55		N	5
M24.56	Contracture of joint; Lower leg	M24.56		N	5
M24.57	Contracture of joint; Ankle and foot	M24.57		N	5
M24.58	Contracture of joint; Other	M24.58		N	5
M24.59	Contracture of joint; Site unspecified	M24.59		N	5
M24.6	Ankylosis of joint	M24.6		N	4
M24.60	Ankylosis of joint; Multiple sites	M24.60		N	5
M24.61	Ankylosis of joint; Shoulder region	M24.61		N	5
M24.62	Ankylosis of joint; Upper arm	M24.62		N	5
M24.63	Ankylosis of joint; Forearm	M24.63		N	5
M24.64	Ankylosis of joint; Hand	M24.64		N	5
M24.65	Ankylosis of joint; Pelvic region and thigh	M24.65		N	5
M24.66	Ankylosis of joint; Lower leg	M24.66		N	5
M24.67	Ankylosis of joint; Ankle and foot	M24.67		N	5
M24.68	Ankylosis of joint; Other	M24.68		N	5
M24.69	Ankylosis of joint; Site unspecified	M24.69		N	5
M24.7	Protrusio acetabuli	M24.7		N	4
M24.8	Other specific joint derangements, not elsewhere classified	M24.8		N	4
M24.80	Other specific joint derangements, not elsewhere classified; Multiple sites	M24.80		N	5
M24.81	Other specific joint derangements, not elsewhere classified; Shoulder region	M24.81		N	5
M24.82	Other specific joint derangements, not elsewhere classified; Upper arm	M24.82		N	5
M24.83	Other specific joint derangements, not elsewhere classified; Forearm	M24.83		N	5
M24.84	Other specific joint derangements, not elsewhere classified; Hand	M24.84		N	5
M24.85	Other specific joint derangements, not elsewhere classified; Pelvic region and thigh	M24.85		N	5
M24.86	Other specific joint derangements, not elsewhere classified; Lower leg	M24.86		N	5
M24.87	Other specific joint derangements, not elsewhere classified; Ankle and foot	M24.87		N	5
M24.88	Other specific joint derangements, not elsewhere classified; Other	M24.88		N	5
M24.89	Other specific joint derangements, not elsewhere classified; Site unspecified	M24.89		N	5
M24.9	Joint derangement, unspecified	M24.9		N	4
M24.90	Joint derangement, unspecified; Multiple sites	M24.90		N	5
M24.91	Joint derangement, unspecified; Shoulder region	M24.91		N	5
M24.92	Joint derangement, unspecified; Upper arm	M24.92		N	5
M24.93	Joint derangement, unspecified; Forearm	M24.93		N	5
M24.94	Joint derangement, unspecified; Hand	M24.94		N	5
M24.95	Joint derangement, unspecified; Pelvic region and thigh	M24.95		N	5
M24.96	Joint derangement, unspecified; Lower leg	M24.96		N	5
M24.97	Joint derangement, unspecified; Ankle and foot	M24.97		N	5
M24.98	Joint derangement, unspecified; Other	M24.98		N	5
M24.99	Joint derangement, unspecified; Site unspecified	M24.99		N	5
M25	Other joint disorders, not elsewhere classified	M25		N	3
M25.0	Haemarthrosis	M25.0		N	4
M25.00	Haemarthrosis; Multiple sites	M25.00		N	5
M25.01	Haemarthrosis; Shoulder region	M25.01		N	5
M25.02	Haemarthrosis; Upper arm	M25.02		N	5
M25.03	Haemarthrosis; Forearm	M25.03		N	5
M25.04	Haemarthrosis; Hand	M25.04		N	5
M25.05	Haemarthrosis; Pelvic region and thigh	M25.05		N	5
M25.06	Haemarthrosis; Lower leg	M25.06		N	5
M25.07	Haemarthrosis; Ankle and foot	M25.07		N	5
M25.08	Haemarthrosis; Other	M25.08		N	5
M25.09	Haemarthrosis; Site unspecified	M25.09		N	5
M25.1	Fistula of joint	M25.1		N	4
M25.10	Fistula of joint; Multiple sites	M25.10		N	5
M25.11	Fistula of joint; Shoulder region	M25.11		N	5
M25.12	Fistula of joint; Upper arm	M25.12		N	5
M25.13	Fistula of joint; Forearm	M25.13		N	5
M25.14	Fistula of joint; Hand	M25.14		N	5
M25.15	Fistula of joint; Pelvic region and thigh	M25.15		N	5
M25.16	Fistula of joint; Lower leg	M25.16		N	5
M25.17	Fistula of joint; Ankle and foot	M25.17		N	5
M25.18	Fistula of joint; Other	M25.18		N	5
M25.19	Fistula of joint; Site unspecified	M25.19		N	5
M25.2	Flail joint	M25.2		N	4
M25.20	Flail joint; Multiple sites	M25.20		N	5
M25.21	Flail joint; Shoulder region	M25.21		N	5
M25.22	Flail joint; Upper arm	M25.22		N	5
M25.23	Flail joint; Forearm	M25.23		N	5
M25.24	Flail joint; Hand	M25.24		N	5
M25.25	Flail joint; Pelvic region and thigh	M25.25		N	5
M25.26	Flail joint; Lower leg	M25.26		N	5
M25.27	Flail joint; Ankle and foot	M25.27		N	5
M25.28	Flail joint; Other	M25.28		N	5
M25.29	Flail joint; Site unspecified	M25.29		N	5
M25.3	Other instability of joint	M25.3		N	4
M25.30	Other instability of joint; Multiple sites	M25.30		N	5
M25.31	Other instability of joint; Shoulder region	M25.31		N	5
M25.32	Other instability of joint; Upper arm	M25.32		N	5
M25.33	Other instability of joint; Forearm	M25.33		N	5
M25.34	Other instability of joint; Hand	M25.34		N	5
M25.35	Other instability of joint; Pelvic region and thigh	M25.35		N	5
M25.36	Other instability of joint; Lower leg	M25.36		N	5
M25.37	Other instability of joint; Ankle and foot	M25.37		N	5
M25.38	Other instability of joint; Other	M25.38		N	5
M25.39	Other instability of joint; Site unspecified	M25.39		N	5
M25.4	Effusion of joint	M25.4		N	4
M25.40	Effusion of joint; Multiple sites	M25.40		N	5
M25.41	Effusion of joint; Shoulder region	M25.41		N	5
M25.42	Effusion of joint; Upper arm	M25.42		N	5
M25.43	Effusion of joint; Forearm	M25.43		N	5
M25.44	Effusion of joint; Hand	M25.44		N	5
M25.45	Effusion of joint; Pelvic region and thigh	M25.45		N	5
M25.46	Effusion of joint; Lower leg	M25.46		N	5
M25.47	Effusion of joint; Ankle and foot	M25.47		N	5
M25.48	Effusion of joint; Other	M25.48		N	5
M25.49	Effusion of joint; Site unspecified	M25.49		N	5
M25.5	Pain in joint	M25.5		N	4
M25.50	Pain in joint; Multiple sites	M25.50		N	5
M25.51	Pain in joint; Shoulder region	M25.51		N	5
M25.52	Pain in joint; Upper arm	M25.52		N	5
M25.53	Pain in joint; Forearm	M25.53		N	5
M25.54	Pain in joint; Hand	M25.54		N	5
M25.55	Pain in joint; Pelvic region and thigh	M25.55		N	5
M25.56	Pain in joint; Lower leg	M25.56		N	5
M25.57	Pain in joint; Ankle and foot	M25.57		N	5
M25.58	Pain in joint; Other	M25.58		N	5
M25.59	Pain in joint; Site unspecified	M25.59		N	5
M25.6	Stiffness of joint, not elsewhere classified	M25.6		N	4
M25.60	Stiffness of joint, not elsewhere classified; Multiple sites	M25.60		N	5
M25.61	Stiffness of joint, not elsewhere classified; Shoulder region	M25.61		N	5
M25.62	Stiffness of joint, not elsewhere classified; Upper arm	M25.62		N	5
M25.63	Stiffness of joint, not elsewhere classified; Forearm	M25.63		N	5
M25.64	Stiffness of joint, not elsewhere classified; Hand	M25.64		N	5
M25.65	Stiffness of joint, not elsewhere classified; Pelvic region and thigh	M25.65		N	5
M25.66	Stiffness of joint, not elsewhere classified; Lower leg	M25.66		N	5
M25.67	Stiffness of joint, not elsewhere classified; Ankle and foot	M25.67		N	5
M25.68	Stiffness of joint, not elsewhere classified; Other	M25.68		N	5
M25.69	Stiffness of joint, not elsewhere classified; Site unspecified	M25.69		N	5
M25.7	Osteophyte	M25.7		N	4
M25.70	Osteophyte; Multiple sites	M25.70		N	5
M25.71	Osteophyte; Shoulder region	M25.71		N	5
M25.72	Osteophyte; Upper arm	M25.72		N	5
M25.73	Osteophyte; Forearm	M25.73		N	5
M25.74	Osteophyte; Hand	M25.74		N	5
M25.75	Osteophyte; Pelvic region and thigh	M25.75		N	5
M25.76	Osteophyte; Lower leg	M25.76		N	5
M25.77	Osteophyte; Ankle and foot	M25.77		N	5
M25.78	Osteophyte; Other	M25.78		N	5
M25.79	Osteophyte; Site unspecified	M25.79		N	5
M25.8	Other specified joint disorders	M25.8		N	4
M25.80	Other specified joint disorders; Multiple sites	M25.80		N	5
M25.81	Other specified joint disorders; Shoulder region	M25.81		N	5
M25.82	Other specified joint disorders; Upper arm	M25.82		N	5
M25.83	Other specified joint disorders; Forearm	M25.83		N	5
M25.84	Other specified joint disorders; Hand	M25.84		N	5
M25.85	Other specified joint disorders; Pelvic region and thigh	M25.85		N	5
M25.86	Other specified joint disorders; Lower leg	M25.86		N	5
M25.87	Other specified joint disorders; Ankle and foot	M25.87		N	5
M25.88	Other specified joint disorders; Other	M25.88		N	5
M25.89	Other specified joint disorders; Site unspecified	M25.89		N	5
M25.9	Joint disorder, unspecified	M25.9		N	4
M25.90	Joint disorder, unspecified; Multiple sites	M25.90		N	5
M25.91	Joint disorder, unspecified; Shoulder region	M25.91		N	5
M25.92	Joint disorder, unspecified; Upper arm	M25.92		N	5
M25.93	Joint disorder, unspecified; Forearm	M25.93		N	5
M25.94	Joint disorder, unspecified; Hand	M25.94		N	5
M25.95	Joint disorder, unspecified; Pelvic region and thigh	M25.95		N	5
M25.96	Joint disorder, unspecified; Lower leg	M25.96		N	5
M25.97	Joint disorder, unspecified; Ankle and foot	M25.97		N	5
M25.98	Joint disorder, unspecified; Other	M25.98		N	5
M25.99	Joint disorder, unspecified; Site unspecified	M25.99		N	5
M30	Polyarteritis nodosa and related conditions	M30		N	3
M30.0	Polyarteritis nodosa	M30.0		N	4
M30.1	Polyarteritis with lung involvement [Churg-Strauss]	M30.1		N	4
M30.2	Juvenile polyarteritis	M30.2		N	4
M30.3	Mucocutaneous lymph node syndrome [Kawasaki]	M30.3		N	4
M30.8	Other conditions related to polyarteritis nodosa	M30.8		N	4
M31	Other necrotizing vasculopathies	M31		N	3
M31.0	Hypersensitivity angiitis	M31.0		N	4
M31.1	Thrombotic microangiopathy	M31.1		N	4
M31.2	Lethal midline granuloma	M31.2		N	4
M31.3	Wegener's granulomatosis	M31.3		N	4
M31.4	Aortic arch syndrome [Takayasu]	M31.4		N	4
M31.5	Giant cell arteritis with polymyalgia rheumatica	M31.5		N	4
M31.6	Other giant cell arteritis	M31.6		N	4
M31.7	Microscopic polyangiitis	M30.0 or M30.8 or M31.8		Y	4
M31.8	Other specified necrotizing vasculopathies	M31.8		N	4
M31.9	Necrotizing vasculopathy, unspecified	M31.9		N	4
M32	Systemic lupus erythematosus	M32		N	3
M32.0	Drug-induced systemic lupus erythematosus	M32.0		N	4
M32.1D	Systemic lupus erythematosus with organ or system involvement	M32.1D		N	4
M32.8	Other forms of systemic lupus erythematosus	M32.8		N	4
M32.9	Systemic lupus erythematosus, unspecified	M32.9		N	4
M33	Dermatopolymyositis	M33		N	3
M33.0	Juvenile dermatomyositis	M33.0		N	4
M33.1	Other dermatomyositis	M33.1		N	4
M33.2	Polymyositis	M33.2		N	4
M33.9	Dermatopolymyositis, unspecified	M33.9		N	4
M34	Systemic sclerosis	M34		N	3
M34.0	Progressive systemic sclerosis	M34.0		N	4
M34.1	CR(E)ST syndrome	M34.1		N	4
M34.2	Systemic sclerosis induced by drugs and chemicals	M34.2		N	4
M34.8	Other forms of systemic sclerosis	M34.8		N	4
M34.9	Systemic sclerosis, unspecified	M34.9		N	4
M35	Other systemic involvement of connective tissue	M35		N	3
M35.0	Sicca syndrome [Sjögren]	M35.0		N	4
M35.1	Other overlap syndromes	M35.1		N	4
M35.2	Behçet's disease	M35.2		N	4
M35.3	Polymyalgia rheumatica	M35.3		N	4
M35.4	Diffuse (eosinophilic) fasciitis	M35.4		N	4
M35.5	Multifocal fibrosclerosis	M35.5		N	4
M35.6	Relapsing panniculitis [Weber-Christian]	M35.6		N	4
M35.7	Hypermobility syndrome	M35.7		N	4
M35.8	Other specified systemic involvement of connective tissue	M35.8		N	4
M35.9	Systemic involvement of connective tissue, unspecified	M35.9		N	4
M36A	Systemic disorders of connective tissue in diseases classified elsewhere	M36A		N	3
M36.0A	Dermato(poly)myositis in neoplastic disease	M36.0A	Associated dagger code C00-D48	N	4
M36.1A	Arthropathy in neoplastic disease	M36.1A	Associated dagger code C00-D48	N	4
M36.2A	Haemophilic arthropathy	M36.2A	Associated dagger code D66-D68	N	4
M36.3A	Arthropathy in other blood disorders	M36.3A	Associated dagger code D50-D76	N	4
M36.4A	Arthropathy in hypersensitivity reactions classified elsewhere	M36.4A		N	4
M36.8A	Systemic disorders of connective tissue in other diseases classified elsewhere	M36.8A		N	4
M40	Kyphosis and lordosis	M40		N	3
M40.0	Postural kyphosis	M40.0		N	4
M40.00	Postural kyphosis; Multiple sites in spine	M40.00		N	5
M40.01	Postural kyphosis; Occipito-atlanto-axial region	M40.01		N	5
M40.02	Postural kyphosis; Cervical region	M40.02		N	5
M40.03	Postural kyphosis; Cervicothoracic region	M40.03		N	5
M40.04	Postural kyphosis; Thoracic region	M40.04		N	5
M40.05	Postural kyphosis; Thoracolumbar region	M40.05		N	5
M40.06	Postural kyphosis; Lumbar region	M40.06		N	5
M40.07	Postural kyphosis; Lumbosacral region	M40.07		N	5
M40.08	Postural kyphosis; Sacral and sacrococcygeal region	M40.08		N	5
M40.09	Postural kyphosis; Site unspecified	M40.09		N	5
M40.1	Other secondary kyphosis	M40.1		N	4
M40.10	Other secondary kyphosis; Multiple sites in spine	M40.10		N	5
M40.11	Other secondary kyphosis; Occipito-atlanto-axial region	M40.11		N	5
M40.12	Other secondary kyphosis; Cervical region	M40.12		N	5
M40.13	Other secondary kyphosis; Cervicothoracic region	M40.13		N	5
M40.14	Other secondary kyphosis; Thoracic region	M40.14		N	5
M40.15	Other secondary kyphosis; Thoracolumbar region	M40.15		N	5
M40.16	Other secondary kyphosis; Lumbar region	M40.16		N	5
M40.17	Other secondary kyphosis; Lumbosacral region	M40.17		N	5
M40.18	Other secondary kyphosis; Sacral and sacrococcygeal region	M40.18		N	5
M40.19	Other secondary kyphosis; Site unspecified	M40.19		N	5
M40.2	Other and unspecified kyphosis	M40.2		N	4
M40.20	Other and unspecified kyphosis; Multiple sites in spine	M40.20		N	5
M40.21	Other and unspecified kyphosis; Occipito-atlanto-axial region	M40.21		N	5
M40.22	Other and unspecified kyphosis; Cervical region	M40.22		N	5
M40.23	Other and unspecified kyphosis; Cervicothoracic region	M40.23		N	5
M40.24	Other and unspecified kyphosis; Thoracic region	M40.24		N	5
M40.25	Other and unspecified kyphosis; Thoracolumbar region	M40.25		N	5
M40.26	Other and unspecified kyphosis; Lumbar region	M40.26		N	5
M40.27	Other and unspecified kyphosis; Lumbosacral region	M40.27		N	5
M40.28	Other and unspecified kyphosis; Sacral and sacrococcygeal region	M40.28		N	5
M40.29	Other and unspecified kyphosis; Site unspecified	M40.29		N	5
M40.3	Flatback syndrome	M40.3		N	4
M40.30	Flatback syndrome; Multiple sites in spine	M40.30		N	5
M40.31	Flatback syndrome; Occipito-atlanto-axial region	M40.31		N	5
M40.32	Flatback syndrome; Cervical region	M40.32		N	5
M40.33	Flatback syndrome; Cervicothoracic region	M40.33		N	5
M40.34	Flatback syndrome; Thoracic region	M40.34		N	5
M40.35	Flatback syndrome; Thoracolumbar region	M40.35		N	5
M40.36	Flatback syndrome; Lumbar region	M40.36		N	5
M40.37	Flatback syndrome; Lumbosacral region	M40.37		N	5
M40.38	Flatback syndrome; Sacral and sacrococcygeal region	M40.38		N	5
M40.39	Flatback syndrome; Site unspecified	M40.39		N	5
M40.4	Other lordosis	M40.4		N	4
M40.40	Other lordosis; Multiple sites in spine	M40.40		N	5
M40.41	Other lordosis; Occipito-atlanto-axial region	M40.41		N	5
M40.42	Other lordosis; Cervical region	M40.42		N	5
M40.43	Other lordosis; Cervicothoracic region	M40.43		N	5
M40.44	Other lordosis; Thoracic region	M40.44		N	5
M40.45	Other lordosis; Thoracolumbar region	M40.45		N	5
M40.46	Other lordosis; Lumbar region	M40.46		N	5
M40.47	Other lordosis; Lumbosacral region	M40.47		N	5
M40.48	Other lordosis; Sacral and sacrococcygeal region	M40.48		N	5
M40.49	Other lordosis; Site unspecified	M40.49		N	5
M40.5	Lordosis, unspecified	M40.5		N	4
M40.50	Lordosis, unspecified; Multiple sites in spine	M40.50		N	5
M40.51	Lordosis, unspecified; Occipito-atlanto-axial region	M40.51		N	5
M40.52	Lordosis, unspecified; Cervical region	M40.52		N	5
M40.53	Lordosis, unspecified; Cervicothoracic region	M40.53		N	5
M40.54	Lordosis, unspecified; Thoracic region	M40.54		N	5
M40.55	Lordosis, unspecified; Thoracolumbar region	M40.55		N	5
M40.56	Lordosis, unspecified; Lumbar region	M40.56		N	5
M40.57	Lordosis, unspecified; Lumbosacral region	M40.57		N	5
M40.58	Lordosis, unspecified; Sacral and sacrococcygeal region	M40.58		N	5
M40.59	Lordosis, unspecified; Site unspecified	M40.59		N	5
M41	Scoliosis	M41		N	3
M41.0	Infantile idiopathic scoliosis	M41.0		N	4
M41.00	Infantile idiopathic scoliosis; Multiple sites in spine	M41.00		N	5
M41.01	Infantile idiopathic scoliosis; Occipito-atlanto-axial region	M41.01		N	5
M41.02	Infantile idiopathic scoliosis; Cervical region	M41.02		N	5
M41.03	Infantile idiopathic scoliosis; Cervicothoracic region	M41.03		N	5
M41.04	Infantile idiopathic scoliosis; Thoracic region	M41.04		N	5
M41.05	Infantile idiopathic scoliosis; Thoracolumbar region	M41.05		N	5
M41.06	Infantile idiopathic scoliosis; Lumbar region	M41.06		N	5
M41.07	Infantile idiopathic scoliosis; Lumbosacral region	M41.07		N	5
M41.08	Infantile idiopathic scoliosis; Sacral and sacrococcygeal region	M41.08		N	5
M41.09	Infantile idiopathic scoliosis; Site unspecified	M41.09		N	5
M41.1	Juvenile idiopathic scoliosis	M41.1		N	4
M41.10	Juvenile idiopathic scoliosis; Multiple sites in spine	M41.10		N	5
M41.11	Juvenile idiopathic scoliosis; Occipito-atlanto-axial region	M41.11		N	5
M41.12	Juvenile idiopathic scoliosis; Cervical region	M41.12		N	5
M41.13	Juvenile idiopathic scoliosis; Cervicothoracic region	M41.13		N	5
M41.14	Juvenile idiopathic scoliosis; Thoracic region	M41.14		N	5
M41.15	Juvenile idiopathic scoliosis; Thoracolumbar region	M41.15		N	5
M41.16	Juvenile idiopathic scoliosis; Lumbar region	M41.16		N	5
M41.17	Juvenile idiopathic scoliosis; Lumbosacral region	M41.17		N	5
M41.18	Juvenile idiopathic scoliosis; Sacral and sacrococcygeal region	M41.18		N	5
M41.19	Juvenile idiopathic scoliosis; Site unspecified	M41.19		N	5
M41.2	Other idiopathic scoliosis	M41.2		N	4
M41.20	Other idiopathic scoliosis; Multiple sites in spine	M41.20		N	5
M41.21	Other idiopathic scoliosis; Occipito-atlanto-axial region	M41.21		N	5
M41.22	Other idiopathic scoliosis; Cervical region	M41.22		N	5
M41.23	Other idiopathic scoliosis; Cervicothoracic region	M41.23		N	5
M41.24	Other idiopathic scoliosis; Thoracic region	M41.24		N	5
M41.25	Other idiopathic scoliosis; Thoracolumbar region	M41.25		N	5
M41.26	Other idiopathic scoliosis; Lumbar region	M41.26		N	5
M41.27	Other idiopathic scoliosis; Lumbosacral region	M41.27		N	5
M41.28	Other idiopathic scoliosis; Sacral and sacrococcygeal region	M41.28		N	5
M41.29	Other idiopathic scoliosis; Site unspecified	M41.29		N	5
M41.3	Thoracogenic scoliosis	M41.3		N	4
M41.30	Thoracogenic scoliosis; Multiple sites in spine	M41.30		N	5
M41.33	Thoracogenic scoliosis; Cervicothoracic region	M41.33		N	5
M41.34	Thoracogenic scoliosis; Thoracic region	M41.34		N	5
M41.35	Thoracogenic scoliosis; Thoracolumbar region	M41.35		N	5
M41.4	Neuromuscular scoliosis	M41.4		N	4
M41.40	Neuromuscular scoliosis; Multiple sites in spine	M41.40		N	5
M41.41	Neuromuscular scoliosis; Occipito-atlanto-axial region	M41.41		N	5
M41.42	Neuromuscular scoliosis; Cervical region	M41.42		N	5
M41.43	Neuromuscular scoliosis; Cervicothoracic region	M41.43		N	5
M41.44	Neuromuscular scoliosis; Thoracic region	M41.44		N	5
M41.45	Neuromuscular scoliosis; Thoracolumbar region	M41.45		N	5
M41.46	Neuromuscular scoliosis; Lumbar region	M41.46		N	5
M41.47	Neuromuscular scoliosis; Lumbosacral region	M41.47		N	5
M41.48	Neuromuscular scoliosis; Sacral and sacrococcygeal region	M41.48		N	5
M41.49	Neuromuscular scoliosis; Site unspecified	M41.49		N	5
M41.5	Other secondary scoliosis	M41.5		N	4
M41.50	Other secondary scoliosis; Multiple sites in spine	M41.50		N	5
M41.51	Other secondary scoliosis; Occipito-atlanto-axial region	M41.51		N	5
M41.52	Other secondary scoliosis; Cervical region	M41.52		N	5
M41.53	Other secondary scoliosis; Cervicothoracic region	M41.53		N	5
M41.54	Other secondary scoliosis; Thoracic region	M41.54		N	5
M41.55	Other secondary scoliosis; Thoracolumbar region	M41.55		N	5
M41.56	Other secondary scoliosis; Lumbar region	M41.56		N	5
M41.57	Other secondary scoliosis; Lumbosacral region	M41.57		N	5
M41.58	Other secondary scoliosis; Sacral and sacrococcygeal region	M41.58		N	5
M41.59	Other secondary scoliosis; Site unspecified	M41.59		N	5
M41.8	Other forms of scoliosis	M41.8		N	4
M41.80	Other forms of scoliosis; Multiple sites in spine	M41.80		N	5
M41.81	Other forms of scoliosis; Occipito-atlanto-axial region	M41.81		N	5
M41.82	Other forms of scoliosis; Cervical region	M41.82		N	5
M41.83	Other forms of scoliosis; Cervicothoracic region	M41.83		N	5
M41.84	Other forms of scoliosis; Thoracic region	M41.84		N	5
M41.85	Other forms of scoliosis; Thoracolumbar region	M41.85		N	5
M41.86	Other forms of scoliosis; Lumbar region	M41.86		N	5
M41.87	Other forms of scoliosis; Lumbosacral region	M41.87		N	5
M41.88	Other forms of scoliosis; Sacral and sacrococcygeal region	M41.88		N	5
M41.89	Other forms of scoliosis; Site unspecified	M41.89		N	5
M41.9	Scoliosis, unspecified	M41.9		N	4
M41.90	Scoliosis, unspecified; Multiple sites in spine	M41.90		N	5
M41.91	Scoliosis, unspecified; Occipito-atlanto-axial region	M41.91		N	5
M41.92	Scoliosis, unspecified; Cervical region	M41.92		N	5
M41.93	Scoliosis, unspecified; Cervicothoracic region	M41.93		N	5
M41.94	Scoliosis, unspecified; Thoracic region	M41.94		N	5
M41.95	Scoliosis, unspecified; Thoracolumbar region	M41.95		N	5
M41.96	Scoliosis, unspecified; Lumbar region	M41.96		N	5
M41.97	Scoliosis, unspecified; Lumbosacral region	M41.97		N	5
M41.98	Scoliosis, unspecified; Sacral and sacrococcygeal region	M41.98		N	5
M41.99	Scoliosis, unspecified; Site unspecified	M41.99		N	5
M42	Spinal osteochondrosis	M42		N	3
M42.0	Juvenile osteochondrosis of spine	M42.0		N	4
M42.00	Juvenile osteochondrosis of spine; Multiple sites in spine	M42.00		N	5
M42.01	Juvenile osteochondrosis of spine; Occipito-atlanto-axial region	M42.01		N	5
M42.02	Juvenile osteochondrosis of spine; Cervical region	M42.02		N	5
M42.03	Juvenile osteochondrosis of spine; Cervicothoracic region	M42.03		N	5
M42.04	Juvenile osteochondrosis of spine; Thoracic region	M42.04		N	5
M42.05	Juvenile osteochondrosis of spine; Thoracolumbar region	M42.05		N	5
M42.06	Juvenile osteochondrosis of spine; Lumbar region	M42.06		N	5
M42.07	Juvenile osteochondrosis of spine; Lumbosacral region	M42.07		N	5
M42.08	Juvenile osteochondrosis of spine; Sacral and sacrococcygeal region	M42.08		N	5
M42.09	Juvenile osteochondrosis of spine; Site unspecified	M42.09		N	5
M42.1	Adult osteochondrosis of spine	M42.1		N	4
M42.10	Adult osteochondrosis of spine; Multiple sites in spine	M42.10		N	5
M42.11	Adult osteochondrosis of spine; Occipito-atlanto-axial region	M42.11		N	5
M42.12	Adult osteochondrosis of spine; Cervical region	M42.12		N	5
M42.13	Adult osteochondrosis of spine; Cervicothoracic region	M42.13		N	5
M42.14	Adult osteochondrosis of spine; Thoracic region	M42.14		N	5
M42.15	Adult osteochondrosis of spine; Thoracolumbar region	M42.15		N	5
M42.16	Adult osteochondrosis of spine; Lumbar region	M42.16		N	5
M42.17	Adult osteochondrosis of spine; Lumbosacral region	M42.17		N	5
M42.18	Adult osteochondrosis of spine; Sacral and sacrococcygeal region	M42.18		N	5
M42.19	Adult osteochondrosis of spine; Site unspecified	M42.19		N	5
M42.9	Spinal osteochondrosis, unspecified	M42.9		N	4
M42.90	Spinal osteochondrosis, unspecified; Multiple sites in spine	M42.90		N	5
M42.91	Spinal osteochondrosis, unspecified; Occipito-atlanto-axial region	M42.91		N	5
M42.92	Spinal osteochondrosis, unspecified; Cervical region	M42.92		N	5
M42.93	Spinal osteochondrosis, unspecified; Cervicothoracic region	M42.93		N	5
M42.94	Spinal osteochondrosis, unspecified; Thoracic region	M42.94		N	5
M42.95	Spinal osteochondrosis, unspecified; Thoracolumbar region	M42.95		N	5
M42.96	Spinal osteochondrosis, unspecified; Lumbar region	M42.96		N	5
M42.97	Spinal osteochondrosis, unspecified; Lumbosacral region	M42.97		N	5
M42.98	Spinal osteochondrosis, unspecified; Sacral and sacrococcygeal region	M42.98		N	5
M42.99	Spinal osteochondrosis, unspecified; Site unspecified	M42.99		N	5
M43	Other deforming dorsopathies	M43		N	3
M43.0	Spondylolysis	M43.0		N	4
M43.00	Spondylolysis; Multiple sites in spine	M43.00		N	5
M43.01	Spondylolysis; Occipito-atlanto-axial region	M43.01		N	5
M43.02	Spondylolysis; Cervical region	M43.02		N	5
M43.03	Spondylolysis; Cervicothoracic region	M43.03		N	5
M43.04	Spondylolysis; Thoracic region	M43.04		N	5
M43.05	Spondylolysis; Thoracolumbar region	M43.05		N	5
M43.06	Spondylolysis; Lumbar region	M43.06		N	5
M43.07	Spondylolysis; Lumbosacral region	M43.07		N	5
M43.08	Spondylolysis; Sacral and sacrococcygeal region	M43.08		N	5
M43.09	Spondylolysis; Site unspecified	M43.09		N	5
